gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
96107720	82e7db90-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Megaptera	Megaptera novaeangliae		SPECIES	Megaptera novaeangliae (Borowski, 1781)	AU		3693ff90-4c16-11d8-b290-b8a03c50a862	-16.05	123.25	500.0				0.0	0.0	1999-08-09T02:00Z	9	8	1999	8931210	8931210	HUMAN_OBSERVATION	AADC	NSSD	NSSD-6622			CC_BY_4_0					2017-03-24T11:30Z		GEODETIC_DATUM_ASSUMED_WGS84
96107719	82e7db90-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Megaptera	Megaptera novaeangliae		SPECIES	Megaptera novaeangliae (Borowski, 1781)	AU		3693ff90-4c16-11d8-b290-b8a03c50a862	-15.616667	123.8	500.0				0.0	0.0	1999-08-09T02:00Z	9	8	1999	8931210	8931210	HUMAN_OBSERVATION	AADC	NSSD	NSSD-6621			CC_BY_4_0					2017-03-25T10:01Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
96107718	82e7db90-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Megaptera	Megaptera novaeangliae		SPECIES	Megaptera novaeangliae (Borowski, 1781)	AU		3693ff90-4c16-11d8-b290-b8a03c50a862	-15.716667	124.333333	500.0				0.0	0.0	1999-08-06T02:00Z	6	8	1999	8931210	8931210	HUMAN_OBSERVATION	AADC	NSSD	NSSD-6615			CC_BY_4_0					2017-03-24T11:30Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
96107717	82e7db90-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Megaptera	Megaptera novaeangliae		SPECIES	Megaptera novaeangliae (Borowski, 1781)	AU		3693ff90-4c16-11d8-b290-b8a03c50a862	-15.666667	124.233333	500.0				0.0	0.0	1999-08-08T02:00Z	8	8	1999	8931210	8931210	HUMAN_OBSERVATION	AADC	NSSD	NSSD-6613			CC_BY_4_0					2017-03-25T10:01Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
96107716	82e7db90-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Megaptera	Megaptera novaeangliae		SPECIES	Megaptera novaeangliae (Borowski, 1781)	AU		3693ff90-4c16-11d8-b290-b8a03c50a862	-15.3	124.233333	500.0				0.0	0.0	1999-07-31T02:00Z	31	7	1999	8931210	8931210	HUMAN_OBSERVATION	AADC	NSSD	NSSD-6612			CC_BY_4_0					2017-03-24T11:30Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
96107715	82e7db90-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Megaptera	Megaptera novaeangliae		SPECIES	Megaptera novaeangliae (Borowski, 1781)	AU		3693ff90-4c16-11d8-b290-b8a03c50a862	-15.133333	124.016667	500.0				0.0	0.0	1999-07-31T02:00Z	31	7	1999	8931210	8931210	HUMAN_OBSERVATION	AADC	NSSD	NSSD-6611			CC_BY_4_0					2017-03-25T10:01Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
96107714	82e7db90-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Megaptera	Megaptera novaeangliae		SPECIES	Megaptera novaeangliae (Borowski, 1781)	AU		3693ff90-4c16-11d8-b290-b8a03c50a862	-15.266667	123.666667	500.0				0.0	0.0	1999-07-31T02:00Z	31	7	1999	8931210	8931210	HUMAN_OBSERVATION	AADC	NSSD	NSSD-6608			CC_BY_4_0					2017-03-24T11:30Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
96107713	82e7db90-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Megaptera	Megaptera novaeangliae		SPECIES	Megaptera novaeangliae (Borowski, 1781)	AU		3693ff90-4c16-11d8-b290-b8a03c50a862	-15.666667	123.033333	500.0				0.0	0.0	1999-07-31T02:00Z	31	7	1999	8931210	8931210	HUMAN_OBSERVATION	AADC	NSSD	NSSD-6606			CC_BY_4_0					2017-03-25T10:01Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
96107712	82e7db90-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Megaptera	Megaptera novaeangliae		SPECIES	Megaptera novaeangliae (Borowski, 1781)	AU		3693ff90-4c16-11d8-b290-b8a03c50a862	-15.833333	122.9	500.0				0.0	0.0	1999-07-31T02:00Z	31	7	1999	8931210	8931210	HUMAN_OBSERVATION	AADC	NSSD	NSSD-6605			CC_BY_4_0					2017-03-24T11:30Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
96107711	82e7db90-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Megaptera	Megaptera novaeangliae		SPECIES	Megaptera novaeangliae (Borowski, 1781)	AU		3693ff90-4c16-11d8-b290-b8a03c50a862	-15.966667	122.8	500.0				0.0	0.0	1999-07-31T02:00Z	31	7	1999	8931210	8931210	HUMAN_OBSERVATION	AADC	NSSD	NSSD-6604			CC_BY_4_0					2017-03-25T10:01Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
96107710	82e7db90-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Megaptera	Megaptera novaeangliae		SPECIES	Megaptera novaeangliae (Borowski, 1781)	AU		3693ff90-4c16-11d8-b290-b8a03c50a862	-16.016667	122.766667	500.0				0.0	0.0	1999-07-31T02:00Z	31	7	1999	8931210	8931210	HUMAN_OBSERVATION	AADC	NSSD	NSSD-6603			CC_BY_4_0					2017-03-24T11:30Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
96107709	82e7db90-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Megaptera	Megaptera novaeangliae		SPECIES	Megaptera novaeangliae (Borowski, 1781)	AU		3693ff90-4c16-11d8-b290-b8a03c50a862	-16.45	122.433333	500.0				0.0	0.0	1999-07-31T02:00Z	31	7	1999	8931210	8931210	HUMAN_OBSERVATION	AADC	NSSD	NSSD-6602			CC_BY_4_0					2017-03-25T10:01Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
96107708	82e7db90-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Megaptera	Megaptera novaeangliae		SPECIES	Megaptera novaeangliae (Borowski, 1781)	AU		3693ff90-4c16-11d8-b290-b8a03c50a862	-16.55	122.366667	500.0				0.0	0.0	1999-07-31T02:00Z	31	7	1999	8931210	8931210	HUMAN_OBSERVATION	AADC	NSSD	NSSD-6601			CC_BY_4_0					2017-03-24T11:30Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
96107707	82e7db90-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Megaptera	Megaptera novaeangliae		SPECIES	Megaptera novaeangliae (Borowski, 1781)	AU		3693ff90-4c16-11d8-b290-b8a03c50a862	-16.633333	122.3	500.0				0.0	0.0	1999-07-31T02:00Z	31	7	1999	8931210	8931210	HUMAN_OBSERVATION	AADC	NSSD	NSSD-6600			CC_BY_4_0					2017-03-25T10:01Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
96107706	82e7db90-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Megaptera	Megaptera novaeangliae		SPECIES	Megaptera novaeangliae (Borowski, 1781)	AU		3693ff90-4c16-11d8-b290-b8a03c50a862	-16.85	122.116667	500.0				0.0	0.0	1999-07-31T02:00Z	31	7	1999	8931210	8931210	HUMAN_OBSERVATION	AADC	NSSD	NSSD-6599			CC_BY_4_0					2017-03-24T11:30Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
96107705	82e7db90-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Megaptera	Megaptera novaeangliae		SPECIES	Megaptera novaeangliae (Borowski, 1781)	AU		3693ff90-4c16-11d8-b290-b8a03c50a862	-15.566667	124.35	500.0				0.0	0.0	1999-08-03T02:00Z	3	8	1999	8931210	8931210	HUMAN_OBSERVATION	AADC	NSSD	NSSD-6597			CC_BY_4_0					2017-03-25T10:01Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
